"SAMPLE_NUMBER","LOGIN_DATE","ANALYSIS","ASSIGNED_OPERATOR","SAMPLING_POINT","REPORTED_NAME","REPORTED_UNITS","ENTRY"
"7822526","28/09/2015 06:31:54 AM","CHOL020493","PLAWICKI","IRM001A","Cholesterol","MG_P_100G","34.188257186"
"7826978","29/09/2015 08:50:22 AM","CHOL020493","MFLAVIN","IRM001A","Cholesterol","MG_P_100G","34.722342164"
"7834731","01/10/2015 06:33:51 AM","CHOL020493","PLAWICKI","IRM001A","Cholesterol","MG_P_100G","33.376518451"
"7838452","01/10/2015 05:26:40 PM","CHOL020493","CHUANG","IRM001A","Cholesterol","MG_P_100G","32.941047216"
"7851749","06/10/2015 02:51:44 PM","CHOL020493","CHUANG","IRM001A","Cholesterol","MG_P_100G","34.381002313"
"7854645","07/10/2015 10:41:12 AM","CHOL020493","ENGUY","IRM001A","Cholesterol","MG_P_100G","33.667085168"
"7871855","12/10/2015 10:14:58 AM","CHOL020493","CHUANG","IRM001A","Cholesterol","MG_P_100G","33.331402616"
"7874743","13/10/2015 06:32:11 AM","CHOL020493","PLAWICKI","IRM001A","Cholesterol","MG_P_100G","32.616237077"
"7895330","18/10/2015 09:55:20 AM","CHOL020493","ENGUY","IRM001A","Cholesterol","MG_P_100G","34.133138189"
"7908963","22/10/2015 06:27:56 AM","CHOL020493","PLAWICKI","IRM001A","Cholesterol","MG_P_100G","33.87042999"
"7933823","28/10/2015 03:37:52 PM","CHOL020493","CHUANG","IRM001A","Cholesterol","MG_P_100G","34.527995946"
"7956790","04/11/2015 10:49:58 AM","CHOL020493","RAS","IRM001A","Cholesterol","MG_P_100G","34.494678484"
"7959173","04/11/2015 05:57:19 PM","CHOL020493","ENGUY","IRM001A","Cholesterol","MG_P_100G","31.981646608"
"7977075","10/11/2015 10:18:09 AM","CHOL020493","MFLAVIN","IRM001A","Cholesterol","MG_P_100G","32.719046635"
"7991482","13/11/2015 10:44:29 AM","CHOL020493","MFLAVIN","IRM001A","Cholesterol","MG_P_100G","33.40400671"
"8000662","16/11/2015 01:16:27 PM","CHOL020493","RAS","IRM001A","Cholesterol","MG_P_100G","33.521954368"
"8007981","18/11/2015 06:56:47 AM","CHOL020493","PLAWICKI","IRM001A","Cholesterol","MG_P_100G","34.05646809"
"8018387","20/11/2015 06:31:59 AM","CHOL020493","PLAWICKI","IRM001A","Cholesterol","MG_P_100G","35.956945636"
"8025238","22/11/2015 08:11:00 AM","CHOL020493","RAS","IRM001A","Cholesterol","MG_P_100G","34.594623165"
"8037867","25/11/2015 12:36:11 PM","CHOL020493","SYOUNG","IRM001A","Cholesterol","MG_P_100G","32.948492316"
"8044302","26/11/2015 04:45:27 PM","CHOL020493","CHUANG","IRM001A","Cholesterol","MG_P_100G","32.908106688"
"8071939","04/12/2015 08:39:14 AM","CHOL020493","SYOUNG","IRM001A","Cholesterol","MG_P_100G","32.874746436"
"8098115","11/12/2015 06:29:27 AM","CHOL020493","PLAWICKI","IRM001A","Cholesterol","MG_P_100G","34.074540131"
"8105538","13/12/2015 09:08:53 AM","CHOL020493","RAS","IRM001A","Cholesterol","MG_P_100G","32.634320485"
"8140849","22/12/2015 02:44:32 PM","CHOL020493","ENGUY","IRM001A","Cholesterol","MG_P_100G","34.063194086"
"8160647","29/12/2015 05:22:21 PM","CHOL020493","ENGUY","IRM001A","Cholesterol","MG_P_100G","33.073137921"
"8182354","06/01/2016 02:53:37 PM","CHOL020493","BSINGCO","IRM001A","Cholesterol","MG_P_100G","33.780670519"
"8194035","10/01/2016 09:34:25 AM","CHOL020493","ENGUY","IRM001A","Cholesterol","MG_P_100G","33.210756596"
"8199880","12/01/2016 10:00:23 AM","CHOL020493","RAS","IRM001A","Cholesterol","MG_P_100G","33.718499139"
"8210262","14/01/2016 12:31:54 PM","CHOL020493","ENGUY","IRM001A","Cholesterol","MG_P_100G","33.804682165"
"8219394","17/01/2016 08:00:35 AM","CHOL020493","RAS","IRM001A","Cholesterol","MG_P_100G","33.271276718"
